display,RID code,LP code
Inspiration,LP221185-4,RID10468
Expiration,LP221184-7,RID10467
PA upright,LP248201-8,RID43594
L-lateral,LP220578-1,RID45780
apical lordotic,LP220580-7,RID43584
L-oblique,LP220579-9,RID43593
PA,LP220588-0,RID43594
Oblique upright,LP248202-6,RID50386
R-lateral,LP220593-0,RID45781
R-oblique,LP220594-8,RID43596
Tomography,LP220473-5,RID28840
Chest vessels,LP207508-5,RID49962
Intra pleural space,LP248710-8,RID11144
Pleural space,LP199940-0,RID1363
IT,LP200077-8,RID45772
Cerebral cisterns,LP199921-0,RID49538
Clavicle,LP199963-2,RID1854
Coccyx,LP199964-0,RID2524
Sacrum,LP200007-5,RID2509
Colon,LP199922-8,RID31011
PR,LP200080-2,RID11181
Air contrast,LP200082-8,RID11590
PO,LP200079-4,RID11173
transit,LP220606-0,RID50130
Diaphragm,LP208107-5,RID1524
Motion,LP208109-1,RID28696
Elbow,LP199967-3,RID2010
Transvaginal,LP253462-8,RID39543
Esophagus,LP199925-1,RID95
Dilation,LP248507-8,RID49772
Video,LP220474-3,RID45718
Hypopharynx,LP251074-3,RID10021
Liquid contrast,LP266554-7,RID11588
Paste contrast,LP266555-4,RID50394
Tc-99m SC,LP208684-3,RID11751
Stomach,LP213585-5,RID114
Extracranial vessels,LP251119-6,RID50287
Peripheral veins,LP251077-6,RID49964
Lower extremity joint,LP200354-1,RID49861
Extremity,LP199969-9,RID13202
Face,LP199970-7,RID13284
Facial bones,LP199971-5,RID28570
Femoral artery,LP207756-0,RID38761
Runoff,LP266859-0,RID45802
Leg length,LP266922-6,RID28813
Femur,LP200377-2,RID2662
Tibia,LP207281-9,RID2885
Thigh,LP206655-5,RID2660
Finger,LP222072-3,RID2391
Foot,LP221475-9,RID28829
Standing,LP221186-2,RID50083
Forearm,LP199974-9,RID2107
48H post,LP248926-0,RID50251
Tc-99m tagged RBC,LP208685-0,RID11747
Gastrointestinal bleeding,LP209002-7,RID43369
Gastrointestinal tract.upper,LP234184-2,RID29665
Decompression tube,LP248594-6,RID5561
Transjugular,LP220388-5,RID49736
Liver,LP199933-5,RID58
Groin,LP208120-8,RID476
Hand,LP221491-6,RID2318
Views 3,LP220532-8,RID43406
Arthritis,LP248203-4,RID3553
Bone age,LP248204-2,RID39030
Perfusion,LP200070-3,RID10376
Internal auditory canal,LP206737-1,RID9392
Posterior fossa,LP206698-5,RID35735
Petrous part of temporal bone,LP199999-6,RID9362
Heart,LP199927-7,RID1385
At rest,LP207666-1,RID12535
Parathyroid gland,LP206704-1,RID7587
Hip,LP199979-8,RID2639
IS,LP200075-2,RID11109
Humerus,LP221454-4,RID1971
Iliac artery,LP208093-7,RID39553
Injection,LP200046-3,RID28842
Joint space,LP199982-2,RID41021
Joint,LP199931-9,RID6122
Serial,LP267667-6,RID50636
Bilateral,LP199951-7,RID5771
Nephrostomy tube,LP200061-2,RID49839
Exchange,LP200045-5,RID49621
Nephroureteral stent,LP263818-9,RID50333
Urodynamics,LP267664-3,RID50546
WO,LP200089-3,RID49854
10M post,LP248205-9,RID50265
supine,LP245420-7,RID45779
Oblique prone,LP267666-8,RID50629
Knee,LP199984-8,RID2743
Merchants,LP220582-3,RID43654
Lower leg vessels,LP207141-5,RID49929
Lower leg,LP199986-3,RID2869
Lung,LP199934-3,RID1301
Portable,LP267663-5,RID10383
Intra lymphatic,LP249327-0,RID11136
Lymphatic vessels,LP213639-0,RID49640
panoramic,LP220590-6,RID49830
Mandible,LP221498-1,RID9082
Mastoid,LP199989-7,RID35754
Small bowel,LP200442-4,RID132
Meckel's diverticulum,LP208999-5,RID4818
Mesenteric artery,LP249195-1,RID50284
Nasal bones,LP206714-0,RID43410
Nasopharynx,LP207536-6,RID9990
Neck vessels,LP207132-4,RID49931
Intra larynx,LP248709-0,RID50255
Optic foramen,LP230199-4,RID43693
Orbit,LP200557-9,RID28601
Oropharynx,LP207534-1,RID10003
Pancreas,LP199937-6,RID170
Pancreatic artery,LP249104-3,RID35951
Patella,LP221451-0,RID2746
Iliac artery.internal,LP208099-4,RID945
Pelvis vessels,LP207134-0,RID49933
Pelvimetry,LP200095-0,RID35772
Peripheral arteries,LP249568-9,RID49963
Tc-99m DTPA,LP208683-5,RID43697
Shunt patency,LP248199-4,RID45642
Pituitary,LP199938-4,RID38674
Popliteal space,LP208048-1,RID2868
Transluminal angioplasty,LP249285-0,RID49757
Popliteal artery,LP207757-8,RID962
Prostate,LP200001-8,RID343
Transrectal,LP266372-4,RID39542
Pulmonary arteries,LP200555-3,RID28586
Pulmonary system,LP200003-4,RID39189
IH,LP200072-9,RID11182
Xe-133,LP200087-7,RID11868
Ventilation,LP248196-0,RID45647
Tc-99m MAA,LP208686-8,RID11737
Perfusion,LP248197-8,RID28948
Pylorus,LP208139-8,RID122
Pyloric stenosis,LP266899-6,RID46040
Rectum,LP199942-6,RID163
Defecation,LP234158-6,RID50072
Urinary bladder,LP199948-3,RID237
Intra bladder,LP200434-1,RID49874
Voiding,LP221194-6,RID48090
Ribs,LP221278-7,RID28591
Sacroiliac joint,LP200006-7,RID2577
Salivary gland,LP206681-1,RID13421
Intra salivary duct,LP200073-7,RID49858
Scapula,LP200009-1,RID1860
Shoulder,LP200011-7,RID1852
Shoulder,LP200011-7,RID39518
Shunt,LP234177-6,RID5588
Sinus tract,LP200012-5,RID4843
Intra sinus tract,LP200074-5,RID49859
Sinuses,LP200013-3,RID28579
Skull,LP221496-5,RID9196
Waters,LP220614-4,RID43689
Views 5,LP220535-1,RID43559
Via enteroclysis tube,LP200081-0,RID49868
Spinal artery,LP249252-0,RID50273
Spine,LP200016-6,RID7741
Intradisc,LP200076-0,RID11125
Scoliosis,LP266363-3,RID4756
Flexion,LP206622-5,RID50069
Spine.lumbar,LP200018-2,RID34573
Extension,LP206621-7,RID50075
Spine facet joint,LP200334-3,RID7901
Spine.cervical,LP200017-4,RID34571
swimmers,LP220603-7,RID45663
Spine.cervical.axis,LP232820-3,RID7747
Spine.cervical.odontoid,LP232819-5,RID7749
Spine.lumbar space,LP249199-3,RID7119
Spleen,LP199947-5,RID86
Portal vein,LP206700-9,RID1208
Splenic vein,LP249107-6,RID1209
Splenic artery,LP249193-6,RID921
Sternum,LP206665-4,RID2473
Tube,LP200065-3,RID5555
Gastrostomy,LP248512-8,RID1634
Replacement,LP200053-9,RID49857
Gastric emptying solid phase,LP266968-9,RID50544
Gastrostomy tube,LP263817-1,RID5562
Temporomandibular joint,LP207356-9,RID9779
Tc-99m pertechnetate,LP208674-4,RID11728
Scrotum,LP220352-1,RID365
Testicle,LP220353-9,RID366
Thigh vessels,LP207140-7,RID49940
Three vessels,LP249581-2,RID39545
Thumb,LP207280-1,RID2392
I-131,LP208672-8,RID43386
Uptake,LP266781-6,RID49568
Fibula,LP207282-7,RID2871
Toes,LP221477-5,RID28757
Two vessels,LP249580-4,RID39545
Urethra,LP206638-1,RID34890
IU,LP207659-6,RID11158
Fallopian tubes,LP208029-1,RID43579
Peripherally-inserted central venous catheter,LP208097-8,RID5581
Vena cava.superior,LP206630-8,RID1010
Vena cava.inferior,LP206629-0,RID1178
Venous filter,LP248906-2,RID5552
{Imaging modality},LP263423-8,RID10311
Large bore central venous catheter,LP266921-8,RID50532
Infusion,LP263434-5,RID10406
Vessel,LP220354-7,RID4
Thrombolytic,LP263790-0,RID49734
Catheter,LP208082-0,RID5576
Vessels,LP199950-9,RID39545
Vasoconstrictor infusion,LP248904-7,RID50282
Abdominal arteries,LP249192-8,RID50393
Conscious sedation,LP200084-4,RID11015
Radiosurgery,LP200052-1,RID49850
Comparison,LP266973-9,RID13169
Port,LP263824-7,RID50336
Foreign body,LP208079-6,RID5425
Zygomatic arch,LP230200-0,RID28599
Hepatic artery,LP199929-3,RID38078
Intrahepatic portal system,LP249253-8,RID38279
Renal arteries,LP249191-0,RID49729
Renal vein,LP206688-6,RID1184
Renin sampling,LP249282-7,RID50264
Renal vessel,LP249190-2,RID50266
Abscess,LP200058-8,RID3711
Aspiration.fine needle,LP200040-6,RID12933
Radiation treatment,LP200051-3,RID39262
Substance removal,LP212510-4,RID49634
Procedure,LP249588-7,RID1559
Reduction,LP267357-4,RID49912
Additional,LP263791-8,RID49787
Additional,LP263791-8,RID49792
Tunneled central venous catheter,LP267466-3,RID50533
Peripheral artery,LP249251-2,RID50272
Shunt,LP267661-9,RID4969
Biopsy.fine needle,LP267473-9,RID12933
Stereotactic localization,LP206577-1,RID35777
Upper arm,LP200030-7,RID1968
Pericardial space,LP208376-6,RID1408
R-bending,LP221190-4,RID50082
L-bending,LP221191-2,RID50081
AP lateral-decubitus,LP220553-4,RID10439
oblique,LP220585-6,RID45661
West Point,LP220617-7,RID43690
3 views,LP266971-3,RID43406
lateral crosstable,LP220573-2,RID45782
Max abduction,LP267662-7,RID50628
lateral frog,LP220574-0,RID50107
inlet,LP220569-0,RID45788
outlet,LP220587-2,RID45789
Finger.second,LP222073-1,RID2394
Finger.third,LP222074-9,RID2396
Finger.fourth,LP222075-6,RID2398
Finger.fifth,LP222076-4,RID2400
Forced dorsiflexion,LP221193-8,RID50078
Views 4,LP220534-4,RID43408
tunnel,LP220610-2,RID45787
Maxillofacial region,LP199991-3,RID35812
Lower extremity vessels,LP207137-3,RID49928
Lacrimal duct,LP213647-3,RID28575
Intra lacrimal duct,LP248707-4,RID50254
Spine.cervical facet joint,LP249189-4,RID34563
Spine.thoracic facet joint,LP249188-6,RID7901
Endoscopy,LP248508-6,RID45710
Pancreatic duct,LP207065-6,RID176
Spine.lumbar facet joint,LP249171-2,RID7901
Epidural veins,LP251118-8,RID1156
Carotid artery.external,LP230313-1,RID684
Head artery,LP230197-8,RID50267
Neck artery,LP230198-6,RID50382
Neck vessel,LP250934-9,RID50383
Orbit veins,LP230196-0,RID50279
Internal thoracic artery,LP249180-3,RID823
Adrenal artery,LP230319-8,RID935
Pelvis arteries,LP249108-4,RID50276
Renal artery,LP206689-4,RID936
Visceral artery,LP208642-1,RID50038
Abdominal lymphatic vessels,LP249183-7,RID31305
Hemodynamics,LP249281-9,RID49657
Adrenal vein,LP230316-4,RID34819
Extremity arteries,LP207759-4,RID49963
Extremity lymphatic vessels,LP249246-2,RID50275
Intra duct,LP207665-3,RID11126
Breast duct,LP208056-4,RID49972
Nerves.cranial,LP207336-1,RID13190
Head veins,LP207542-4,RID49968
Carotid vessels,LP207279-3,RID49959
Aortic arch,LP199916-0,RID581
Abdominal veins,LP207522-6,RID49957
Celiac vessels,LP207525-9,RID49960
Superior mesenteric vessels,LP206661-3,RID49939
Lumbosacral plexus,LP207614-1,RID7456
Renal Vessels,LP200333-5,RID49537
Femoral vessels,LP207528-3,RID49965
Foot vessels,LP207273-6,RID49924
Forearm vessels,LP207276-9,RID49925
Upper extremity joint,LP200357-4,RID49862
Extremity veins,LP207527-5,RID49964
Lower extremity vein,LP207960-8,RID49982
Upper extremity vein,LP207959-0,RID49983
Symphysis pubis,LP232130-7,RID2594
Tibioperoneal vessels,LP207355-1,RID49942
Extremity artery,LP208014-3,RID49974
Bronchoscopy,LP220389-3,RID50156
Lymph node,LP199987-1,RID13296
Localization,LP200047-1,RID28708
Vertebroplasty,LP200055-4,RID1839
Radiation therapy fields,LP200063-8,RID39262
Larynx,LP199932-7,RID7589
Maxilla,LP199990-5,RID9236
Lower extremity veins,LP207523-4,RID49969
Dynamic,LP207363-5,RID10385
Carotid artery,LP200345-9,RID584
L-anterior oblique,LP220571-6,RID50106
Views 6,LP220536-9,RID50157
Views 7,LP220537-7,RID50158
Views 8,LP220538-5,RID50159
Balloon dilatation,LP266972-1,RID11030
Extremity vessel,LP249583-8,RID50271
Femoral vessel,LP249582-0,RID50269
Coronary arteries,LP199923-6,RID28727
Adrenal gland,LP199911-1,RID88
Muscle,LP199993-9,RID13196
Temporal bone,LP200401-0,RID9361
Ovary,LP206705-8,RID290
Toe,LP221476-7,RID2992
Veins,LP207526-7,RID28587
Neck veins,LP207147-2,RID49930
Pelvis veins,LP207543-2,RID49971
Tributaries,LP207342-9,RID49943
Adrenal vessels,LP207518-4,RID49958
Extremity vessels,LP207288-4,RID49923
Knee vessels,LP207138-1,RID49927
Orbit vessels,LP207293-4,RID49932
Pulmonary vessels,LP206694-4,RID49865
Shoulder vessels,LP207135-7,RID49934
Head arteries,LP207545-7,RID49967
Chest veins,LP207544-0,RID49961
Ankle vessels,LP207272-8,RID49922
Calcium score,LP200093-5,RID28808
axillary,LP220557-5,RID45790
Ball Catcher,LP220558-3,RID43665
Brewerton,LP220560-9,RID50096
Clenched fist,LP221192-0,RID50074
Friedman,LP220564-1,RID43621
Garth,LP220565-8,RID50097
Harris,LP220567-4,RID50098
Holmblad,LP220568-2,RID43630
Jones,LP266857-4,RID50535
Judet,LP220570-8,RID43637
Laurin,LP220577-3,RID50111
Magnification,LP249289-2,RID28651
MLO,LP220583-1,RID50114
Mortise,LP220584-9,RID50115
PA prone,LP220589-8,RID50118
Rolled,LP266858-2,RID50329
Rosenberg,LP220595-5,RID50099
Ski jump,LP266847-5,RID50098
Stryker Notch,LP220601-1,RID43682
Submentovertex,LP266366-6,RID45791
Sunrise,LP220602-9,RID45786
tangential,LP220604-5,RID50124
transthoracic,LP220607-8,RID45785
Grashey,LP220566-6,RID43625
true lateral,LP220609-4,RID50126
Ulnar deviation,LP266361-7,RID10447
Velpeau axillary,LP220612-8,RID50127
Von Rosen,LP220613-6,RID50100
XCCL,LP220618-5,RID50128
Y,LP220619-3,RID50129
Zanca,LP220620-1,RID50103
lateral-decubitus,LP245416-5,RID10439
odontoid,LP220586-4,RID50116
spot,LP220599-7,RID43597
Serendipity,LP220598-9,RID50123
Towne,LP220605-2,RID43686
Stenver,LP266365-8,RID43681
Arcelin,LP266842-6,RID43600
Caldwell,LP220561-7,RID43671
Cerebral artery,LP249243-9,RID50283
Inferior mesenteric artery,LP249241-3,RID939
Superior mesenteric artery,LP249240-5,RID927
Cerebral vein,LP250935-6,RID34445
Bone marrow,LP199959-0,RID38594
Epididymis,LP199924-4,RID371
Mediastinum,LP199936-8,RID1384
Tissue,LP200029-9,RID13298
Superficial biopsy,LP200444-0,RID49871
Brain stem,LP207337-9,RID6677
Brain.temporal,LP207510-1,RID6392
Fistula,LP200094-3,RID4843
Parotid gland,LP207335-3,RID28744
Sternoclavicular joint,LP200021-6,RID1884
Spine.lumbosacral junction,LP230292-7,RID28734
Circle of Willis,LP200344-2,RID28600
Soft tissue,LP208038-2,RID35730
Spinal veins,LP207353-6,RID1155
Fetal age,LP267475-4,RID43581
true AP,LP220608-6,RID50125
scaphoid,LP220597-1,RID50122
Humerus.bicipital groove,LP230318-0,RID1980
Olecranon,LP232131-5,RID39681
Upper extremity artery,LP208012-7,RID49976
Vertebral artery,LP222058-2,RID774
Bronchial artery,LP251117-0,RID880
Upper extremity arteries,LP230202-6,RID50381
Gastric artery,LP249110-0,RID908
Gastroduodenal artery,LP249187-8,RID910
Internal maxillary artery,LP249250-4,RID734
Internal pudendal artery,LP249249-6,RID954
Azygos vein,LP251114-7,RID1169
Femoral vein,LP207992-1,RID1199
Intraosseous veins,LP250959-6,RID50286
Inferior mesenteric vein,LP249185-2,RID1211
Cine,LP207362-7,RID10928
Function,LP209054-8,RID28812
Lung parenchyma,LP199935-0,RID35739
Spectroscopy,LP207112-6,RID10377
10 degree cephalic angle,LP220545-0,RID50090
30 degree caudal angle,LP220548-4,RID50088
45 degree cephalic angle,LP220549-2,RID50093
Bora,LP220559-1,RID50095
Stress,LP207491-4,RID10475
45 degree flexion,LP221188-8,RID50070
Broden,LP266854-1,RID43605
Lower extremity arteries,LP230201-8,RID50380
Tibioperoneal arteries,LP230207-5,RID49636
Pleura,LP199939-2,RID1362
Spine.cervical intervertebral disc,LP262346-2,RID50392
Tendon,LP208055-6,RID6067
Skull.base,LP200014-1,RID28731
Spine vessels,LP207324-7,RID49935
Spine.cervical vessels,LP207322-1,RID49936
Spine.lumbar vessels,LP207323-9,RID49937
Spine.thoracic vessels,LP207321-3,RID49938
10 degree caudal angle,LP220544-3,RID50087
lateral spot,LP220576-5,RID50109
Toe.fifth,LP221481-7,RID2999
Toe.fourth,LP221480-9,RID2998
Great toe,LP222085-5,RID2993
Toe.second,LP221478-3,RID2996
Toe.third,LP221479-1,RID2997
Grid,LP264224-9,RID10534
Law,LP266364-1,RID43667
Mayer,LP245419-9,RID43653
Oblique crosstable,LP267660-1,RID50635
Open mouth,LP232821-1,RID10451
Closed mouth,LP232822-9,RID50172
Radial deviation,LP266362-5,RID10446
Via fistula,LP248690-2,RID50252
Post fatty meal,LP248698-5,RID49476
Weight,LP221195-3,RID50085
Jejunum,LP249172-0,RID148
Intra corpus cavernosum,LP248704-1,RID11123
Penis,LP208052-3,RID362
Carotid artery.common,LP230314-9,RID584
Graft,LP207966-5,RID3751
Pelvic lymphatic vessels,LP249184-5,RID50274
Eye,LP207778-4,RID34550
Ferguson,LP220563-3,RID43618
20 degree cephalic angle,LP220546-8,RID50091
Carpal tunnel,LP266853-3,RID45783
anterior,LP220551-8,RID5818
Hyperextension,LP232818-7,RID50075
Peripheral vessels,LP250936-4,RID49923
Ribs.anterior,LP221506-1,RID50168
Ribs.posterior,LP221502-0,RID28581
Ankle arteries,LP230206-7,RID50379
Carotid artery.cervical,LP249565-5,RID586
Carotid artery.internal,LP249576-2,RID585
Cerebral artery internal,LP249574-7,RID35904
Ribs.lower,LP221508-7,RID50167
Ribs.upper,LP221505-3,RID50166
Sinus vein,LP250933-1,RID34474
Subclavian vein,LP249570-5,RID1013
Superior mesenteric vein,LP249106-8,RID1212
Testicular vessels,LP208371-7,RID50045
Spine.thoracolumbar junction,LP230293-5,RID28739
Uterine artery,LP249109-2,RID955
Vertebral vessels,LP249569-7,RID50280
Visceral vessels,LP250958-8,RID50378
radial head capitellar,LP220591-4,RID50119
Chest wall,LP208118-2,RID2468
Cholecystokinin,LP207662-0,RID39035
Lower extremity artery,LP208013-5,RID49975
Implant,LP207529-1,RID28790
R-anterior oblique,LP220592-2,RID50120
L-posterior oblique,LP220581-5,RID50113
Merchants 30 degrees,LP266389-8,RID50370
Merchants 45 degrees,LP266388-0,RID50371
Merchants 60 degrees,LP266387-2,RID50372
Sunrise 20 degrees,LP266384-9,RID50367
Sunrise 40 degrees,LP266385-6,RID50368
Sunrise 60 degrees,LP266386-4,RID50369
Air gap,LP264223-1,RID50328
Chain,LP248695-1,RID50244
Spinal cavity,LP249198-5,RID6135
Antegrade,LP248699-3,RID13047
Spine epidural space,LP249197-7,RID7111
Waters upright,LP220616-9,RID50102
Thoracic artery,LP249245-4,RID50285
CSF,LP264580-4,RID1544
Iliac vessels,LP207956-6,RID49541
Subclavian vessels,LP208138-0,RID50044
Deep,LP200056-2,RID5835
Superficial,LP267472-1,RID5836
Submandibular gland,LP249175-3,RID9968
DXA,LP208571-2,RID10363
Skeletal system,LP251082-6,RID13208
Whole Body,LP200036-4,RID39569
Bone density,LP266430-0,RID50376
Transplanted liver,LP208385-7,RID50032
Transplanted kidney,LP208026-7,RID39544
Hepatic veins,LP249567-1,RID50377
Vascular access,LP208078-8,RID49956
Blood flow velocity mapping,LP267225-3,RID50632
Intra multiple ducts,LP264229-8,RID45707
FFD,LP250931-5,RID10351
Vas deferens,LP249181-1,RID358
Intra vas deferens,LP248703-3,RID50253
Internal rotation,LP221196-1,RID50079
External rotation,LP221197-9,RID50077
R-posterior oblique,LP220596-3,RID50121
Ribs.upper.anterior,LP221504-6,RID28597
Ribs.upper.posterior,LP221501-2,RID50165
Transcapular,LP266395-5,RID50373
Genitourinary tract,LP208560-5,RID43244
Extremity vein,LP207958-2,RID49981
Transplanted liver,LP208389-9,RID50032
Ribs.lower.posterior,LP221500-4,RID50164
Abdominal wall,LP208113-3,RID30014
Ovarian vessels,LP207765-1,RID49970
Umbilical vessels,LP208561-3,RID50043
Transplanted pancreas,LP208388-1,RID50033
Danelius Miller,LP220562-5,RID43616
Foreign body,LP208367-5,RID5425
I-131 NP59,LP208677-7,RID50388
Blood flow,LP208662-9,RID45644
I-123,LP208671-0,RID43384
Tc-99m glucoheptonate,LP208682-7,RID11734
Brain veins,LP217240-3,RID49968
Tc-99m tetrofosmin,LP208692-6,RID11752
Dipyridamole,LP208668-6,RID45805
Adenosine,LP208669-4,RID10490
DOBUTamine,LP208670-2,RID45806
infarct,LP221399-1,RID5172
Tc-99m PYP,LP208693-4,RID11745
Tc-99m Sestamibi,LP208666-0,RID11749
Shunt detection,LP266965-5,RID45641
Tc-99m Arcitumomab,LP208900-3,RID11730
Motility,LP266905-1,RID39132
Reflux,LP267477-0,RID5260
Tc-99m DISIDA,LP208675-1,RID11732
Ga-67,LP208667-8,RID11703
Infection,LP266919-2,RID3710
Tumor,LP207120-9,RID3957
Lymphoma,LP266900-2,RID3840
Depreotide,LP208895-5,RID50052
I-131 MIBG,LP208676-9,RID11720
In-111 satumomab,LP208680-1,RID11711
Delayed,LP266901-0,RID39065
Tc-99m HDP,LP208687-6,RID11743
Gastric emptying liquid phase,LP266967-1,RID50543
Gastric emptying,LP266966-3,RID50542
Sm-153,LP208898-9,RID11725
Endocrine tumor,LP266851-7,RID4483
In-111 pentetreotide,LP208679-3,RID11710
Blood pool,LP213663-0,RID45693
First pass,LP213664-8,RID45658
Heart.ventricle,LP217238-7,RID1392
Wall motion,LP213666-3,RID45640
Views 2 phase,LP266975-4,RID50539
3 phase,LP267476-2,RID43560
Views 3 phase,LP266974-7,RID43560
Ventricular volume,LP267659-3,RID50631
Multiple areas,LP208935-9,RID49793
Single area,LP266976-2,RID50540
Gated,LP213665-5,RID10961
Clearance,LP267658-5,RID50633
Equilibrium,LP266849-1,RID39065
Washout,LP266850-9,RID34333
Differential,LP266910-1,RID50630
Thrombosis,LP267356-6,RID34624
Tc-99m DMSA,LP208689-2,RID43378
Pharynx,LP207535-8,RID13211
Cholecystostomy,LP263788-4,RID1671
Saline,LP207658-8,RID49954
Iliac graft,LP208645-4,RID50039
Chest tube,LP266902-8,RID5573
CSF flow,LP266840-0,RID28809
Endorectal,LP207347-8,RID50104
Endovaginal,LP207346-0,RID50105
Axial,LP266843-4,RID10579
Foot.sesamoid bones,LP221487-4,RID35798
Frontal,LP266855-8,RID10521
stereoscopic,LP220600-3,RID50131
Bending,LP221189-6,RID50073
Post mortem,LP266906-9,RID50541
Measurement,LP266370-8,RID48094
90 degree abduction,LP220550-0,RID50094
Sitting,LP232827-8,RID10452
Standing in brace,LP221187-0,RID50132
PA 30 degree flexion,LP220547-6,RID50092
Biopsy.excisional,LP267474-7,RID50524
Transabdominal,LP253463-6,RID6427
